name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Prolific Men's Casual Loafers & Driving Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71h9n2j4E+L._AC_UL320_.jpg,https://www.amazon.in/Prolific-Absorbing-Casual-Loafers-Driving/dp/B08GNNTY3Z/ref=sr_1_964?qid=1679148652&s=shoes&sr=1-964,3.6,212,₹668,"₹2,999"
LOUIS STITCH Men's Premium Handmade Finest Leather Tortilla Brown Moccasins Buckle Loafers Slip on for Men (Prague_ST),men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61kmqL9BUdL._AC_UL320_.jpg,https://www.amazon.in/LOUIS-STITCH-Loafers-Tortilla-Prague_STTB/dp/B0858YRRQ1/ref=sr_1_13248?qid=1679149100&s=shoes&sr=1-13248,5.0,1,"₹1,499","₹4,999"
Big Fox Men's Fly High Genz Sneakers | Casual Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/3119yvoXlUL._AC_UL320_.jpg,https://www.amazon.in/Big-Fox-Sneakers-Casual-Shoes/dp/B0BM9M11TM/ref=sr_1_8612?qid=1679148928&s=shoes&sr=1-8612,1.0,1,₹899,"₹2,495"
Bacca Bucci Men's Casual Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61MAtCO+z6L._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Mens-Casual-Shoes/dp/B0758BH4XP/ref=sr_1_5889?qid=1679148829&s=shoes&sr=1-5889,1.0,1,₹499,"₹2,999"
Bacca Bucci Men's Comfy Mid-Top Casual Chunky Streetwear Fashion Sneakers | Solid Color Pattern with Rubber Outsole,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/61UMQGpC6UL._AC_UL320_.jpg,https://www.amazon.in/Bacca-Bucci-Mid-Top-Streetwear-Sneakers/dp/B09LS4LLPC/ref=sr_1_1273?qid=1679148665&s=shoes&sr=1-1273,3.8,251,"₹1,504","₹3,499"
Liberty Gliders Mens Anderson Black Casual Lacing Shoes,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/413kODIsIQL._AC_UL320_.jpg,https://www.amazon.in/Liberty-Gliders-Anderson-Casual-Lacing/dp/B0BG8RPGMQ/ref=sr_1_8619?qid=1679148928&s=shoes&sr=1-8619,5.0,1,"₹1,200","₹2,999"
Hidesign Men's Leather Moccasins,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61EA3ms7WSL._AC_UL320_.jpg,https://www.amazon.in/Hidesign-Moccasins-11-Waikiki-Mens-Shoes-Black/dp/B07YYQ895D/ref=sr_1_14560?qid=1679149149&s=shoes&sr=1-14560,5.0,1,"₹4,994","₹4,995"
Skechers Mens Arch Fit Road Walker Sneaker,men's shoes,Casual Shoes,https://m.media-amazon.com/images/I/71zJ+2Mo3pL._AC_UL320_.jpg,https://www.amazon.in/Skechers-Mens-Arch-Walker-Sneaker/dp/B09W8LCH1R/ref=sr_1_1387?qid=1679148668&s=shoes&sr=1-1387,5.0,3,"₹4,724","₹8,999"
Pro by Khadim's Men's Canvas Grey Casual Shoe,men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71TRw+XkbeS._AC_UL320_.jpg,https://www.amazon.in/Pro-Khadims-Mens-Casual-Slip/dp/B0855XB9FG/ref=sr_1_14460?qid=1679149145&s=shoes&sr=1-14460,3.3,6,₹539,₹599
Metro Men Casual Shoes (71-8576),men's shoes,Casual Shoes,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61ZyqL9pQLL._AC_UL320_.jpg,https://www.amazon.in/Metro-Mens-Leather-Camel-Mocassin/dp/B0B39921MX/ref=sr_1_3416?qid=1679148743&s=shoes&sr=1-3416,5.0,1,"₹2,030","₹3,690"
