name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"CAZOO Bed Sheet Tucker Tool - Durable Bed Maker Tool Handy Bed Sheet Tightener for Hotel, Bedsheet Change Helper, Tuck She...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/618B86nVooL._AC_UL320_.jpg,https://www.amazon.in/CAZOO-Bed-Sheet-Tucker-Tool/dp/B0BW8ZQJL3/ref=sr_1_1944?qid=1679214487&s=kitchen&sr=1-1944,4.5,16,₹199,₹699
"LG 8 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T80SJMB1Z, Middle Black, Jet Spray+)",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/619+nBuezlL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T80SJMB1Z/dp/B08DF1RHFZ/ref=sr_1_5837?qid=1679214555&s=kitchen&sr=1-5837,4.4,545,"₹23,850","₹38,990"
"Whirlpool 245 L 3 Star Frost-Free Inverter Double Door Refrigerator (NEO DF258 ROY GERMAN STEEL (3S-N, German Steel, 2022 ...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51FWFBso2jL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Frost-Free-Inverter-Double-Refrigerator/dp/B0B3RKZF3C/ref=sr_1_4339?qid=1679214528&s=kitchen&sr=1-4339,4.2,"1,045","₹23,490","₹29,450"
"Gemini Big Bullet Jar for Mixer Grinder (530 ML) with Gym Sipper Cap ABS Transparent Plastic Mixer Juicer Jar, Black",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61oXrssSntL._AC_UL320_.jpg,https://www.amazon.in/Gemini-Bullet-Grinder-Transparent-Plastic/dp/B0B1QD2148/ref=sr_1_3994?qid=1679214520&s=kitchen&sr=1-3994,4.1,4,₹340,₹899
Faber-Castell Jumbo Wax Crayons - 24 Shades,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61+jETK-CZL._AC_UL320_.jpg,https://www.amazon.in/Faber-Castell-Jumbo-Wax-Crayons-Shades/dp/B00LY280Q4/ref=sr_1_9596_mod_primary_new?qid=1679214627&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-9596,4.3,"2,238",₹100,₹120
"ZSIGNS 46PCS 1/4 inch Drive Socket Set,Metric Ratchet Wrench Set with 4-14mm CR-V Sockets,S2 Bits,Extension Bars,Mechanic ...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/81UOIOrc8AL._AC_UL320_.jpg,https://www.amazon.in/ZSIGNS-Ratchet-Extension-Mechanic-Household/dp/B0BC1PMRHR/ref=sr_1_790?qid=1679214461&s=kitchen&sr=1-790,4.3,965,₹728,"₹1,999"
"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41TuyxwZ9mL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-173V-Vectra-Platina/dp/B0BRJ7N92P/ref=sr_1_794?qid=1679214462&s=kitchen&sr=1-794,4.1,"1,666","₹31,990","₹70,990"
MACCA Brand - XXXL Clasic Bean Bag Filled with Beans Ready to Use (Faux Leather) (Navy Blue),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/51soywcAI9L._AC_UL320_.jpg,https://www.amazon.in/MACCA-Brand-Clasic-Filled-Leather/dp/B0BTBBRJ6T/ref=sr_1_7762?qid=1679214593&s=kitchen&sr=1-7762,4.1,5,"₹1,595","₹2,499"
"ADA Wrought Iron Coat Rack Hanger Creative Fashion Bedroom for Hanging Clothes Shelves, Wrought Iron Racks Standing Coat R...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61vEy1T3hfL._AC_UL320_.jpg,https://www.amazon.in/ADA-Wrought-Creative-Fashion-Standing/dp/B07SVLS1QB/ref=sr_1_3486?qid=1679214511&s=kitchen&sr=1-3486,3.8,"1,311",₹849,"₹2,199"
Godrej Nav-tal Ultra XL+ 3 Ton Brass Finish Padlock with 4 Common Keys (Pack of 2),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51DSXygsNGL._AC_UL320_.jpg,https://www.amazon.in/Godrej-NAVTAL-Padlock-Common-Golden/dp/B08K8GS8BX/ref=sr_1_6922?qid=1679214575&s=kitchen&sr=1-6922,4.5,271,"₹1,424","₹1,880"
P.erforma 50 Strip,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61XXDUR1HQL._AC_UL320_.jpg,https://www.amazon.in/Olweldz-P-erforma-50-Strip/dp/B0BR8Y6KFC/ref=sr_1_8193?qid=1679214602&s=kitchen&sr=1-8193,4.7,4,₹730,"₹1,400"
"RYLAN Mandoline Chopper for Kitchen Vegetable Cutter for Kitchen Slicer Stainless Steel Vegetable Chopper, Onion Cutter wi...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61w08HPZ9CL._AC_UL320_.jpg,https://www.amazon.in/Mandoline-Chopper-Vegetable-Stainless-Multipurpose/dp/B0BY2M35NF/ref=sr_1_1909?qid=1679214485&s=kitchen&sr=1-1909,4.5,157,₹711,"₹1,999"
"RYLAN Mandoline Chopper for Kitchen Vegetable Cutter for Kitchen Slicer Stainless Steel Vegetable Chopper, Onion Cutter wi...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61w08HPZ9CL._AC_UL320_.jpg,https://www.amazon.in/Mandoline-Chopper-Vegetable-Stainless-Multipurpose/dp/B0BY2M35NF/ref=sr_1_1909?qid=1679214485&s=kitchen&sr=1-1909,4.5,157,₹711,"₹1,999"
Bulfyss 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/716GiOzkSTL._AC_UL320_.jpg,https://www.amazon.in/Bulfyss-Multipurpose-Jewellery-Organizer-Transparent/dp/B07CKY5P1Q/ref=sr_1_1414?qid=1679214473&s=kitchen&sr=1-1414,4.3,"1,193",₹299,₹599
"Generic JMD Long Combination Spanner/Wrench Set Tools kit/12 Piece Tools kit for Home use - Professional Spanners , Open End",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61B4iAt35oS._AC_UL320_.jpg,https://www.amazon.in/Combination-Spanner-Wrench-Tools-Piece/dp/B09JNV8MVJ/ref=sr_1_5659?qid=1679214551&s=kitchen&sr=1-5659,3.0,132,₹339,₹699
"Inditradition Drawer Organizer, Dividers, Closet Storage Box | Multi-Purpose, ABS Plastic, Multi-Color (Pack of 4)",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/81fOOcIMcmL._AC_UL320_.jpg,https://www.amazon.in/Inditradition-Organizer-Dividers-Multi-Purpose-Multi-Color/dp/B079LH9C94/ref=sr_1_5764?qid=1679214554&s=kitchen&sr=1-5764,4.0,773,₹299,₹700
Kuber Industries Storage Box|Toy Box Storage For Kids|Foldable Storage Box|Closet Organizer Box with Handle|Metalic Lahriy...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91x1VIn3-qL._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Rectangular-Organizer-KUBMART15999/dp/B08VJ9RRMZ/ref=sr_1_806?qid=1679214462&s=kitchen&sr=1-806,3.9,"2,334",₹399,₹499
Plantex Bathroom Accessories-Stainless Steel 304 Grade Folding Towel Rack/Towel Hanger/Bathroom Organizer(24 Inch-Chrome),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61D114hxxTL._AC_UL320_.jpg,https://www.amazon.in/Plantex-Premium-Stainless-Bathroom-Accessories/dp/B082QZ3RSJ/ref=sr_1_6447?qid=1679214566&s=kitchen&sr=1-6447,4.0,570,"₹1,399","₹3,799"
"GaxQuly Single Sided Home Tile Sticker Mildewproof Gap sealing tape waterproof, gold tiles tape for floor tile wall décor,...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/31A3vACmQDL._AC_UL320_.jpg,https://www.amazon.in/GaxQuly-sealing-waterproof-Adhesive-decorative/dp/B09CZ9CMYS/ref=sr_1_6255?qid=1679214562&s=kitchen&sr=1-6255,3.6,263,₹325,₹999
"Acko 1 Year Extended Warranty for ACs from Rs-30,000 to Rs-40,000 (Email Delivery)",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61GfeQoaprL._AC_UL320_.jpg,https://www.amazon.in/Acko-Extended-Warranty-Email-Delivery/dp/B07M5WPZJX/ref=sr_1_5847?qid=1679214555&s=kitchen&sr=1-5847,4.1,316,"₹1,349","₹1,949"
Cri8Hub Stainless Steel Kitchens Large Size Cup Stand Steel V Shape Cup Stand Pieces Coffee Cup Holder with 12 Hooks for C...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61jjMWEzCqL._AC_UL320_.jpg,https://www.amazon.in/Cri8Hub-Stainless-Kitchens-Pieces-Coffee/dp/B09FVGWTYF/ref=sr_1_3500?qid=1679214511&s=kitchen&sr=1-3500,4.1,482,₹225,₹235
"AGARO Grand 17Pcs Kitchen Knife Set with Acrylic Stand, High Carbon Stainless Steel, Professional Chef Knife Set for Kitch...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/8141qQ4VIxS._AC_UL320_.jpg,https://www.amazon.in/AGARO-Stainless-Professional-Scissors-Sharpener/dp/B0924NMB4Q/ref=sr_1_5781?qid=1679214554&s=kitchen&sr=1-5781,4.6,540,"₹2,699","₹4,599"
"PS SHEVIN Roti Flat Iron Tawa Wider Base Cast (Stainless Steel Handle) Roti Tava, Induction Base Tawa 10 Inch for Roti Par...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61-gSH4criL._AC_UL320_.jpg,https://www.amazon.in/PS-SHEVIN-Roti-Tawa-Stainless/dp/B0BSGP9BHX/ref=sr_1_9301?qid=1679214622&s=kitchen&sr=1-9301,3.1,20,₹299,₹599
"UN1QUE X1 Mini Fan Portable Hand Fan with Powerful Brushless Motor - Small, Lightweight,3 Speeds,USB Rechargeable for Indo...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61XjNwXfeGL._AC_UL320_.jpg,https://www.amazon.in/UN1QUE-X1-Portable-Powerful-Brushless/dp/B0BQC5XBGC/ref=sr_1_5848?qid=1679214555&s=kitchen&sr=1-5848,3.7,11,₹699,"₹1,499"
Murphy E27 Fluorescent Infrared Heat Therapy Lamp (Pack of 1),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/314hhGDWJzS._AC_UL320_.jpg,https://www.amazon.in/Murphy-ML-0040-Infrared-Therapy-Black/dp/B00PXWT8WG/ref=sr_1_5366?qid=1679214547&s=kitchen&sr=1-5366,4.1,"3,245","₹1,195","₹2,295"
"Milton New Tiara 900 Stainless Steel 24 Hours Hot and Cold Water Bottle, 750 ml, Rose Gold",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71CdthAFMTL._AC_UL320_.jpg,https://www.amazon.in/Milton-Tiara-Stainless-Steel-Bottle/dp/B08KJGTLNY/ref=sr_1_1730?qid=1679214481&s=kitchen&sr=1-1730,4.3,828,₹862,₹950
RNTR Knife Sharpener Manual 3 Stage Knife Sharpener for Kitchen Knife Sharpener Rod Knives Sharpening Tool for Steel Knives,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ec7rWmSoL._AC_UL320_.jpg,https://www.amazon.in/RNTR-Sharpener-Manual-Kitchen-Sharpening/dp/B0BX8Z5Y17/ref=sr_1_3997?qid=1679214520&s=kitchen&sr=1-3997,5.0,7,₹199,₹799
FEEDFIRE Microfiber Feather Duster Bendable & Extendable Fan Cleaning Duster with 100 inches Expandable Pole Handle Washab...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71R5oxKsQlL._AC_UL320_.jpg,https://www.amazon.in/FEEDFIRE-Microfiber-Extendable-Expandable-Furniture/dp/B0BX8ZR4H5/ref=sr_1_5853?qid=1679214555&s=kitchen&sr=1-5853,5.0,8,₹229,"₹1,099"
RAG28 Wooden Enjoy The Little Things Showpieces for Home Decor Items (Size: 6X6 Inches),home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/71VqAAwUOgL._AC_UL320_.jpg,https://www.amazon.in/RAG28-Wooden-Little-Things-Showpieces/dp/B0BKGX95G9/ref=sr_1_3677?qid=1679214514&s=kitchen&sr=1-3677,4.6,59,₹299,₹499
"50 Pcs Self Adhesive Cable Management Clips, SOULWIT Cable Organizers Sticky Wire Clips Cord Holder for TV PC Laptop Ether...",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61yc-vAKsWL._AC_UL320_.jpg,https://www.amazon.in/Adhesive-Management-SOULWIT-Organizers-Transparent/dp/B08MW7LC31/ref=sr_1_8187_mod_primary_new?qid=1679214602&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-8187,3.7,"1,228",₹227,₹699
Rylan Multifunctional 2 in 1 Electric Egg Boiling Steamer Egg Frying Pan Egg Boiler Electric Automatic Off with Egg Boiler...,home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/61mTdDOlONL._AC_UL320_.jpg,https://www.amazon.in/Rylan-Multifunctional-Egg-Automatic-Non-Stick/dp/B0BV2MJHBK/ref=sr_1_4424?qid=1679214531&s=kitchen&sr=1-4424,4.6,124,₹649,₹999
