name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Lovely Solar Fan® DC 12Volt 24Watt 12"" SanChi Pedestal Fan (2 Speed, Blue & White)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71a+KArBt9S._AC_UL320_.jpg,https://www.amazon.in/Lovely-Solar-Fan-DC-12Volt/dp/B08CGVRSJH/ref=sr_1_3991?qid=1679135819&s=appliances&sr=1-3991,3.8,629,"₹1,499","₹1,999"
Seazone Cover for All Models Water Purifier ASTOR Type,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51FMl91jm9L._AC_UL320_.jpg,https://www.amazon.in/Seazone-Cover-ASTOR-Models-Purifier/dp/B09ZPPKM25/ref=sr_1_5827?qid=1679135921&s=appliances&sr=1-5827,3.3,19,₹229,₹490
"Borosil Neo Waffle Maker, 1000 W, Silver",appliances,All Appliances,https://m.media-amazon.com/images/I/61f9c7GpUEL._AC_UL320_.jpg,https://www.amazon.in/Borosil-Waffle-Maker-1000-Silver/dp/B07VVLJQ8P/ref=sr_1_803?qid=1679135635&s=appliances&sr=1-803,4.0,"1,313","₹2,099","₹2,990"
"Godrej Eon Dishwasher | 8 Place Setting Counter-Top | Compact with an In-built heater (DWT EON MGNS 8C NF SKSL, Silky Silv...",appliances,All Appliances,https://m.media-amazon.com/images/I/51z1hv5r74L._AC_UL320_.jpg,https://www.amazon.in/Godrej-Dishwasher-Counter-Top-kitchens-families/dp/B09NDSVJW9/ref=sr_1_4237?qid=1679135833&s=appliances&sr=1-4237,3.9,118,"₹19,890","₹27,490"
"Epsilon 6 Layer Carbon Activated Chlorine Remover Taps, Tap Water Filter/Purifier for Drinking, Alkaline Water Saver Fauce...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51Nv0FHR-eL._AC_UL320_.jpg,https://www.amazon.in/Epsilon-Activated-Chlorine-Purifier-Multicolor/dp/B09FFBDPJ1/ref=sr_1_5085?qid=1679135879&s=appliances&sr=1-5085,3.2,15,₹225,₹999
Singer Duo Pop 700-Watt 2 Slice Pop-up Bread Toaster (White),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51vXc45VL7L._AC_UL320_.jpg,https://www.amazon.in/Singer-Duo-Pop-Slice-Toaster/dp/B01M24BWPY/ref=sr_1_5874?qid=1679135923&s=appliances&sr=1-5874,3.8,199,"₹1,349","₹2,030"
Geeky Portable Princess Rabbit Styled Rechargeable Handheld Fan (Pink),appliances,All Appliances,https://m.media-amazon.com/images/I/31OX+G1g0kL._AC_UL320_.jpg,https://www.amazon.in/Geeky-Portable-Princess-Rechargeable-Handheld/dp/B07VLK5BYD/ref=sr_1_5626?qid=1679135911&s=appliances&sr=1-5626,4.3,470,₹699,"₹1,299"
"Luminous Optimus 1250 Pure Sine Wave 1100VA/12V Inverter for Home, Office & Shops",appliances,All Appliances,https://m.media-amazon.com/images/I/51NWuLluJnS._AC_UL320_.jpg,https://www.amazon.in/Luminous-Optimus-1250-Inverter-Advanced/dp/B08QCZQQJ6/ref=sr_1_2654?qid=1679135744&s=appliances&sr=1-2654,3.0,65,"₹7,790","₹10,500"
"SITOLO Egg Boiler With Automatic Off & Single Layer Electric Omlet Maker For Boiling, Cooking and Frying the Eggs, Egg Pou...",appliances,All Appliances,https://m.media-amazon.com/images/I/31uKomO6BBL._AC_UL320_.jpg,https://www.amazon.in/SITOLO-Egg-Boiler-Automatic-Electric/dp/B0BPPJ83CJ/ref=sr_1_3181?qid=1679135774&s=appliances&sr=1-3181,4.3,6,₹349,₹699
Care N Made® Solenoid Valve 24 VDC for Kent/AQUAGARD RO Water Purifier,appliances,All Appliances,https://m.media-amazon.com/images/I/61Ze3O8CU0S._AC_UL320_.jpg,https://www.amazon.in/Made%C2%AE-Solenoid-Valve-AQUAGARD-Purifier/dp/B09SB51H9K/ref=sr_1_9046?qid=1679136097&s=appliances&sr=1-9046,4.0,1,₹240,₹360
MESH MASTERS Heavy Duty Double Door_Single Door Fridge Stand/Washing Machine Stand/Dish Washer Stand_Maroon Color with Box...,appliances,All Appliances,https://m.media-amazon.com/images/I/71-ZWkg7OkL._AC_UL320_.jpg,https://www.amazon.in/MESH-MASTERS-Door_Single-Washing-Stand_Maroon/dp/B09V15DFHM/ref=sr_1_8194?qid=1679136053&s=appliances&sr=1-8194,3.3,17,₹399,₹799
